[      70ms] [LOG] [CV] loading ./opencv.js @ http://localhost:5173/src/session/store.ts:34
[   14405ms] [WARNING] Low-confidence digit read in (row=0,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14406ms] [WARNING] Low-confidence digit read in (row=0,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14406ms] [WARNING] Low-confidence digit read in (row=0,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14406ms] [WARNING] Low-confidence digit read in (row=0,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14406ms] [WARNING] Low-confidence digit read in (row=0,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14407ms] [WARNING] Low-confidence digit read in (row=0,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   14407ms] [WARNING] Low-confidence digit read in (row=0,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   14407ms] [WARNING] Low-confidence digit read in (row=1,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   14407ms] [WARNING] Low-confidence digit read in (row=1,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   14407ms] [WARNING] Low-confidence digit read in (row=1,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14408ms] [WARNING] Low-confidence digit read in (row=2,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14408ms] [WARNING] Low-confidence digit read in (row=2,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14408ms] [WARNING] Low-confidence digit read in (row=2,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14408ms] [WARNING] Low-confidence digit read in (row=2,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14408ms] [WARNING] Low-confidence digit read in (row=2,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14409ms] [WARNING] Low-confidence digit read in (row=2,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14409ms] [WARNING] Low-confidence digit read in (row=2,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14409ms] [WARNING] Low-confidence digit read in (row=2,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   14409ms] [WARNING] Low-confidence digit read in (row=2,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   14409ms] [WARNING] Low-confidence digit read in (row=3,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   14411ms] [WARNING] Low-confidence digit read in (row=3,col=3) @ http://localhost:5173/src/image/inpImage.ts:295
[   14413ms] [WARNING] Low-confidence digit read in (row=4,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14413ms] [WARNING] Low-confidence digit read in (row=4,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14413ms] [WARNING] Low-confidence digit read in (row=4,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14413ms] [WARNING] Low-confidence digit read in (row=4,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14414ms] [WARNING] Low-confidence digit read in (row=4,col=3) @ http://localhost:5173/src/image/inpImage.ts:295
[   14414ms] [WARNING] Low-confidence digit read in (row=4,col=3) @ http://localhost:5173/src/image/inpImage.ts:295
[   14414ms] [WARNING] Low-confidence digit read in (row=4,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14414ms] [WARNING] Low-confidence digit read in (row=4,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14415ms] [WARNING] Low-confidence digit read in (row=4,col=5) @ http://localhost:5173/src/image/inpImage.ts:295
[   14415ms] [WARNING] Low-confidence digit read in (row=4,col=5) @ http://localhost:5173/src/image/inpImage.ts:295
[   14415ms] [WARNING] Low-confidence digit read in (row=4,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14415ms] [WARNING] Low-confidence digit read in (row=5,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14415ms] [WARNING] Low-confidence digit read in (row=5,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14416ms] [WARNING] Low-confidence digit read in (row=5,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   14416ms] [WARNING] Low-confidence digit read in (row=6,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14416ms] [WARNING] Low-confidence digit read in (row=6,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14416ms] [WARNING] Low-confidence digit read in (row=6,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   14417ms] [WARNING] Low-confidence digit read in (row=6,col=8) @ http://localhost:5173/src/image/inpImage.ts:295
[   14417ms] [WARNING] Low-confidence digit read in (row=6,col=8) @ http://localhost:5173/src/image/inpImage.ts:295
[   14417ms] [WARNING] Low-confidence digit read in (row=7,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   14417ms] [WARNING] Low-confidence digit read in (row=7,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14417ms] [WARNING] Low-confidence digit read in (row=7,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14418ms] [WARNING] Low-confidence digit read in (row=7,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14418ms] [WARNING] Low-confidence digit read in (row=7,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14418ms] [WARNING] Low-confidence digit read in (row=8,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14418ms] [WARNING] Low-confidence digit read in (row=8,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14419ms] [WARNING] Low-confidence digit read in (row=8,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   14435ms] [WARNING] Low-confidence digit read in (row=0,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14435ms] [WARNING] Low-confidence digit read in (row=0,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14435ms] [WARNING] Low-confidence digit read in (row=0,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14436ms] [WARNING] Low-confidence digit read in (row=0,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14436ms] [WARNING] Low-confidence digit read in (row=0,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14436ms] [WARNING] Low-confidence digit read in (row=0,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14436ms] [WARNING] Low-confidence digit read in (row=0,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14437ms] [WARNING] Low-confidence digit read in (row=0,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   14437ms] [WARNING] Low-confidence digit read in (row=0,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   14437ms] [WARNING] Low-confidence digit read in (row=1,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   14437ms] [WARNING] Low-confidence digit read in (row=1,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   14437ms] [WARNING] Low-confidence digit read in (row=1,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14438ms] [WARNING] Low-confidence digit read in (row=2,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14438ms] [WARNING] Low-confidence digit read in (row=2,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   14438ms] [WARNING] Low-confidence digit read in (row=2,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14438ms] [WARNING] Low-confidence digit read in (row=2,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   14438ms] [WARNING] Low-confidence digit read in (row=2,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   14439ms] [WARNING] Low-confidence digit read in (row=2,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14439ms] [WARNING] Low-confidence digit read in (row=2,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   14439ms] [WARNING] Low-confidence digit read in (row=2,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
