[     126ms] [LOG] [CV] loading ./opencv.js @ http://localhost:5173/src/session/store.ts:34
[   87835ms] [WARNING] Low-confidence digit read in (row=0,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   87835ms] [WARNING] Low-confidence digit read in (row=0,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87835ms] [WARNING] Low-confidence digit read in (row=0,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87836ms] [WARNING] Low-confidence digit read in (row=0,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87836ms] [WARNING] Low-confidence digit read in (row=0,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87836ms] [WARNING] Low-confidence digit read in (row=0,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   87836ms] [WARNING] Low-confidence digit read in (row=0,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   87837ms] [WARNING] Low-confidence digit read in (row=1,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   87837ms] [WARNING] Low-confidence digit read in (row=1,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   87837ms] [WARNING] Low-confidence digit read in (row=1,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87838ms] [WARNING] Low-confidence digit read in (row=2,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87838ms] [WARNING] Low-confidence digit read in (row=2,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87838ms] [WARNING] Low-confidence digit read in (row=2,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   87838ms] [WARNING] Low-confidence digit read in (row=2,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   87838ms] [WARNING] Low-confidence digit read in (row=2,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87839ms] [WARNING] Low-confidence digit read in (row=2,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87839ms] [WARNING] Low-confidence digit read in (row=2,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87839ms] [WARNING] Low-confidence digit read in (row=2,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   87839ms] [WARNING] Low-confidence digit read in (row=2,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   87839ms] [WARNING] Low-confidence digit read in (row=3,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   87840ms] [WARNING] Low-confidence digit read in (row=3,col=3) @ http://localhost:5173/src/image/inpImage.ts:295
[   87840ms] [WARNING] Low-confidence digit read in (row=4,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87840ms] [WARNING] Low-confidence digit read in (row=4,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87840ms] [WARNING] Low-confidence digit read in (row=4,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   87840ms] [WARNING] Low-confidence digit read in (row=4,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   87841ms] [WARNING] Low-confidence digit read in (row=4,col=3) @ http://localhost:5173/src/image/inpImage.ts:295
[   87841ms] [WARNING] Low-confidence digit read in (row=4,col=3) @ http://localhost:5173/src/image/inpImage.ts:295
[   87841ms] [WARNING] Low-confidence digit read in (row=4,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87841ms] [WARNING] Low-confidence digit read in (row=4,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87842ms] [WARNING] Low-confidence digit read in (row=4,col=5) @ http://localhost:5173/src/image/inpImage.ts:295
[   87842ms] [WARNING] Low-confidence digit read in (row=4,col=5) @ http://localhost:5173/src/image/inpImage.ts:295
[   87842ms] [WARNING] Low-confidence digit read in (row=4,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87843ms] [WARNING] Low-confidence digit read in (row=5,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87843ms] [WARNING] Low-confidence digit read in (row=5,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87843ms] [WARNING] Low-confidence digit read in (row=5,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   87843ms] [WARNING] Low-confidence digit read in (row=6,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87843ms] [WARNING] Low-confidence digit read in (row=6,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87843ms] [WARNING] Low-confidence digit read in (row=6,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   87844ms] [WARNING] Low-confidence digit read in (row=6,col=8) @ http://localhost:5173/src/image/inpImage.ts:295
[   87844ms] [WARNING] Low-confidence digit read in (row=6,col=8) @ http://localhost:5173/src/image/inpImage.ts:295
[   87844ms] [WARNING] Low-confidence digit read in (row=7,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   87845ms] [WARNING] Low-confidence digit read in (row=7,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87845ms] [WARNING] Low-confidence digit read in (row=7,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87845ms] [WARNING] Low-confidence digit read in (row=7,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87845ms] [WARNING] Low-confidence digit read in (row=7,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87845ms] [WARNING] Low-confidence digit read in (row=8,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87845ms] [WARNING] Low-confidence digit read in (row=8,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87846ms] [WARNING] Low-confidence digit read in (row=8,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   87862ms] [WARNING] Low-confidence digit read in (row=0,col=0) @ http://localhost:5173/src/image/inpImage.ts:295
[   87863ms] [WARNING] Low-confidence digit read in (row=0,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   87863ms] [WARNING] Low-confidence digit read in (row=0,col=1) @ http://localhost:5173/src/image/inpImage.ts:295
[   87863ms] [WARNING] Low-confidence digit read in (row=0,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87863ms] [WARNING] Low-confidence digit read in (row=0,col=4) @ http://localhost:5173/src/image/inpImage.ts:295
[   87864ms] [WARNING] Low-confidence digit read in (row=0,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87864ms] [WARNING] Low-confidence digit read in (row=0,col=6) @ http://localhost:5173/src/image/inpImage.ts:295
[   87864ms] [WARNING] Low-confidence digit read in (row=0,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   87864ms] [WARNING] Low-confidence digit read in (row=0,col=7) @ http://localhost:5173/src/image/inpImage.ts:295
[   87865ms] [WARNING] Low-confidence digit read in (row=1,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
[   87865ms] [WARNING] Low-confidence digit read in (row=1,col=2) @ http://localhost:5173/src/image/inpImage.ts:295
